timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-01-23,10.49000000,11.11000000,10.07000000,10.77000000,186268.23000000,1642982399999,1975784.39360000,11285,89767.32000000,953702.04940000,0
2022-01-24,10.77000000,10.77000000,8.28000000,9.34000000,672192.60800000,1643068799999,6151379.28133800,30540,312941.42600000,2882337.65252000,0
2022-01-25,9.35000000,9.54000000,8.83000000,9.44000000,329236.08000000,1643155199999,3038837.28490000,11709,162455.11000000,1500861.81260000,0
2022-01-26,9.44000000,10.64000000,8.98000000,9.19000000,312024.66000000,1643241599999,3014838.97470000,12922,144432.82000000,1401069.61380000,0
2022-01-27,9.20000000,9.42000000,8.72000000,9.05000000,153801.63000000,1643327999999,1385752.52530000,8084,72036.43000000,649498.11620000,0
2022-01-28,9.05000000,11.39000000,8.92000000,10.88000000,683779.70000000,1643414399999,7041442.72520000,30962,365782.97000000,3772305.21120000,0
2022-01-29,10.88000000,11.30000000,10.44000000,10.91000000,281013.99000000,1643500799999,3073694.15120000,13038,137932.01000000,1511320.06060000,0
2022-01-30,10.90000000,11.20000000,10.44000000,11.00000000,137640.80000000,1643587199999,1493737.20250000,9141,67913.77000000,738636.42520000,0
2022-01-31,10.98000000,11.79000000,10.12000000,11.41000000,213905.75000000,1643673599999,2342147.26740000,11816,110589.74000000,1218139.89220000,0
2022-02-01,11.39000000,11.50000000,10.93000000,11.26000000,177598.14000000,1643759999999,1984263.86350000,9056,83809.72000000,937326.81620000,0
2022-02-02,11.29000000,11.43000000,10.09000000,10.19000000,178696.29000000,1643846399999,1923373.27660000,11758,76845.06000000,827456.31670000,0
2022-02-03,10.19000000,10.84000000,9.93000000,10.57000000,113802.58000000,1643932799999,1184360.33520000,9548,54435.91000000,566501.68770000,0
2022-02-04,10.55000000,11.46000000,10.35000000,11.40000000,111042.58000000,1644019199999,1207550.24490000,9505,60508.19000000,659032.86740000,0
2022-02-05,11.40000000,11.92000000,11.17000000,11.59000000,127076.07000000,1644105599999,1468741.09270000,9236,70811.50000000,818830.22310000,0
2022-02-06,11.58000000,11.74000000,11.07000000,11.69000000,82556.00000000,1644191999999,941182.14110000,6783,41004.30000000,468234.66690000,0
2022-02-07,11.69000000,12.44000000,11.34000000,12.08000000,129982.70000000,1644278399999,1555431.62780000,9064,67566.84000000,809052.01770000,0
2022-02-08,12.11000000,12.53000000,11.38000000,11.87000000,158186.65000000,1644364799999,1875776.47920000,11636,70756.93000000,840402.62280000,0
2022-02-09,11.87000000,12.20000000,11.59000000,12.07000000,77899.97000000,1644451199999,931613.93820000,6992,45618.86000000,545856.61150000,0
2022-02-10,12.08000000,12.16000000,11.29000000,11.33000000,110543.79000000,1644537599999,1302361.59980000,10094,49870.06000000,588308.91070000,0
2022-02-11,11.34000000,11.83000000,10.65000000,10.74000000,125386.36000000,1644623999999,1409639.19900000,11021,56783.09000000,640408.46000000,0
2022-02-12,10.75000000,11.32000000,10.49000000,11.24000000,79872.60000000,1644710399999,870945.36630000,8109,41699.06000000,454674.51750000,0
2022-02-13,11.25000000,11.34000000,10.66000000,10.90000000,95384.36000000,1644796799999,1047181.39010000,7178,48054.78000000,528355.60480000,0
2022-02-14,10.89000000,11.12000000,10.58000000,10.83000000,60993.95000000,1644883199999,660539.36360000,6242,27832.10000000,301583.59600000,0
2022-02-15,10.83000000,11.90000000,10.82000000,11.67000000,107613.53000000,1644969599999,1233281.53950000,7837,53832.54000000,614833.74660000,0
2022-02-16,11.68000000,11.68000000,10.94000000,11.18000000,128623.87000000,1645055999999,1445167.64150000,7097,60957.45000000,683397.93930000,0
2022-02-17,11.20000000,11.27000000,9.92000000,9.93000000,86196.97000000,1645142399999,909817.62070000,7846,37481.38000000,395019.86720000,0
2022-02-18,9.94000000,10.20000000,9.56000000,9.57000000,106907.60000000,1645228799999,1060157.62290000,7734,58483.31000000,580973.84570000,0
2022-02-19,9.58000000,9.72000000,9.26000000,9.51000000,66902.09000000,1645315199999,634753.39550000,5452,33825.22000000,321244.05780000,0
2022-02-20,9.51000000,9.51000000,8.67000000,8.80000000,101661.79000000,1645401599999,911223.73300000,5908,33694.49000000,302502.78940000,0
2022-02-21,8.80000000,9.28000000,8.29000000,8.31000000,123168.81000000,1645487999999,1082226.49110000,8198,57509.15000000,507281.86070000,0
2022-02-22,8.33000000,9.17000000,8.09000000,8.80000000,228156.09000000,1645574399999,1971791.81410000,11686,108235.43000000,939269.59060000,0
2022-02-23,8.80000000,9.21000000,8.18000000,8.22000000,207839.05000000,1645660799999,1809160.09350000,8260,98223.60000000,853501.69510000,0
2022-02-24,8.21000000,8.26000000,6.91000000,7.74000000,315066.71400000,1645747199999,2322304.19232400,16764,130734.52000000,961231.03800000,0
2022-02-25,7.74000000,8.48000000,7.58000000,8.16000000,282913.47000000,1645833599999,2244016.71860000,9812,137953.01000000,1094393.49780000,0
2022-02-26,8.17000000,8.47000000,7.99000000,8.14000000,92629.52000000,1645919999999,758645.13840000,6186,39791.54000000,326255.49780000,0
2022-02-27,8.15000000,8.36000000,7.61000000,7.92000000,155960.38000000,1646006399999,1237269.45000000,9719,79786.45000000,633509.90170000,0
2022-02-28,7.93000000,8.84000000,7.72000000,8.66000000,225349.52000000,1646092799999,1845352.25480000,10959,108237.15000000,889155.93410000,0
2022-03-01,8.68000000,9.38000000,8.56000000,9.14000000,255470.93000000,1646179199999,2289817.22040000,12440,128855.69000000,1155214.68480000,0
2022-03-02,9.15000000,9.39000000,8.88000000,9.01000000,144360.93000000,1646265599999,1309780.01060000,7940,68922.91000000,625266.25930000,0
2022-03-03,9.01000000,9.14000000,8.29000000,8.59000000,169128.44000000,1646351999999,1467332.87260000,8202,79244.42000000,687071.82240000,0
2022-03-04,8.59000000,8.59000000,7.71000000,7.82000000,84683.90000000,1646438399999,691398.64050000,5835,38158.62000000,312124.60820000,0
2022-03-05,7.82000000,7.99000000,7.59000000,7.81000000,180616.10000000,1646524799999,1411709.72370000,6751,90917.22000000,710056.27380000,0
2022-03-06,7.81000000,7.86000000,7.18000000,7.38000000,301594.20000000,1646611199999,2258435.35140000,10182,152544.36000000,1139946.53070000,0
2022-03-07,7.38000000,7.78000000,7.05000000,7.38000000,207892.77000000,1646697599999,1534285.01180000,9555,101056.13000000,746288.07570000,0
2022-03-08,7.38000000,7.58000000,7.29000000,7.35000000,104262.95000000,1646783999999,774847.76490000,6311,49024.80000000,364404.31150000,0
2022-03-09,7.36000000,8.15000000,7.35000000,7.81000000,173299.10000000,1646870399999,1361694.38370000,7993,86162.20000000,676689.52120000,0
2022-03-10,7.81000000,7.85000000,7.11000000,7.35000000,141858.91000000,1646956799999,1042689.39560000,7124,63525.62000000,465802.72010000,0
2022-03-11,7.32000000,7.40000000,7.07000000,7.14000000,105831.46000000,1647043199999,762294.26480000,6552,52202.14000000,376095.83740000,0
2022-03-12,7.13000000,7.23000000,7.08000000,7.11000000,56549.87000000,1647129599999,403924.58540000,3912,27785.52000000,198640.12770000,0
2022-03-13,7.12000000,7.20000000,6.78000000,6.80000000,89473.11000000,1647215999999,628235.03760000,6642,43835.17000000,307652.29920000,0
2022-03-14,6.82000000,7.18000000,6.74000000,7.17000000,101677.38000000,1647302399999,710908.33550000,6342,51631.02000000,361341.72960000,0
2022-03-15,7.17000000,7.23000000,6.81000000,7.10000000,208951.23000000,1647388799999,1468487.75810000,11432,94004.55000000,661423.83090000,0
2022-03-16,7.09000000,7.45000000,6.98000000,7.34000000,175141.41000000,1647475199999,1263187.09720000,9118,86164.14000000,622491.75790000,0
2022-03-17,7.34000000,7.41000000,7.01000000,7.18000000,155291.57000000,1647561599999,1125801.64820000,5236,75584.70000000,546853.90150000,0
2022-03-18,7.18000000,7.61000000,7.00000000,7.58000000,142043.48000000,1647647999999,1028452.21830000,7277,78214.95000000,565659.93990000,0
2022-03-19,7.59000000,9.17000000,7.51000000,8.19000000,1229838.07000000,1647734399999,10244427.05200000,34779,726525.48000000,6083298.97830000,0
2022-03-20,8.19000000,8.21000000,7.44000000,7.73000000,346697.47000000,1647820799999,2737873.19570000,11969,151674.66000000,1196966.58770000,0
2022-03-21,7.74000000,8.04000000,7.49000000,7.69000000,178181.94000000,1647907199999,1386917.68230000,10397,84210.22000000,656218.59010000,0
2022-03-22,7.70000000,8.15000000,7.68000000,8.04000000,203314.32000000,1647993599999,1629877.87080000,12440,102758.49000000,823923.71270000,0
2022-03-23,8.05000000,8.90000000,7.93000000,8.71000000,289917.23000000,1648079999999,2432142.41650000,17365,152458.27000000,1281864.33030000,0
2022-03-24,8.70000000,9.86000000,8.39000000,9.57000000,469573.88000000,1648166399999,4308974.48620000,23585,251878.76000000,2315872.45060000,0
2022-03-25,9.57000000,11.94000000,9.51000000,10.26000000,2925491.53000000,1648252799999,32461659.86240000,120373,1491749.91000000,16589186.14920000,0
2022-03-26,10.26000000,11.46000000,10.06000000,10.86000000,718629.10000000,1648339199999,7726333.29830000,29942,376763.62000000,4054626.28730000,0
2022-03-27,10.87000000,13.18000000,10.81000000,12.65000000,1272788.03000000,1648425599999,15301257.31780000,60175,676839.14000000,8145202.76250000,0
2022-03-28,12.65000000,13.17000000,11.62000000,11.63000000,421044.17000000,1648511999999,5259198.15340000,22563,206722.15000000,2584882.12160000,0
2022-03-29,11.66000000,12.06000000,11.02000000,11.25000000,479173.52000000,1648598399999,5562916.26570000,22783,232368.10000000,2700718.92010000,0
2022-03-30,11.26000000,11.44000000,10.81000000,10.94000000,228870.66000000,1648684799999,2549986.16090000,14414,105731.12000000,1177420.05560000,0
2022-03-31,10.96000000,11.38000000,10.16000000,10.36000000,228989.62000000,1648771199999,2484905.18640000,13528,98613.56000000,1068739.09330000,0
2022-04-01,10.37000000,11.17000000,9.83000000,11.01000000,258781.09000000,1648857599999,2736953.56860000,12678,115673.49000000,1218075.29180000,0
2022-04-02,11.01000000,11.57000000,10.70000000,11.29000000,311649.54000000,1648943999999,3471770.12240000,15384,154509.95000000,1723277.51540000,0
2022-04-03,11.29000000,12.56000000,10.91000000,12.05000000,619468.49000000,1649030399999,7359370.11220000,30437,314731.47000000,3740320.84470000,0
2022-04-04,12.06000000,12.38000000,11.12000000,11.63000000,536957.83000000,1649116799999,6260001.86430000,25762,265815.66000000,3102425.18770000,0
2022-04-05,11.64000000,12.62000000,11.56000000,11.78000000,392726.46000000,1649203199999,4754320.30340000,21917,190853.08000000,2312740.89530000,0
2022-04-06,11.77000000,11.89000000,9.89000000,9.89000000,318839.44000000,1649289599999,3444280.21830000,17040,146785.84000000,1591062.16910000,0
2022-04-07,9.89000000,10.27000000,9.60000000,10.12000000,286323.89000000,1649375999999,2856186.58210000,12357,135622.06000000,1351891.05080000,0
2022-04-08,10.13000000,10.45000000,9.03000000,9.08000000,318922.60000000,1649462399999,3109250.80110000,13970,148765.72000000,1458450.22330000,0
2022-04-09,9.10000000,9.55000000,9.00000000,9.51000000,96438.77000000,1649548799999,894211.20860000,5351,45114.86000000,417929.53120000,0
2022-04-10,9.52000000,11.26000000,9.30000000,10.10000000,862367.07000000,1649635199999,8844878.96270000,39031,437725.64000000,4493196.97800000,0
2022-04-11,10.12000000,10.40000000,8.56000000,8.65000000,405391.08000000,1649721599999,3819590.29150000,16919,186666.47000000,1757950.68100000,0
2022-04-12,8.68000000,9.48000000,8.64000000,9.02000000,247293.89000000,1649807999999,2230684.62920000,11227,123767.80000000,1117064.37690000,0
2022-04-13,9.03000000,9.26000000,8.74000000,8.92000000,209120.01000000,1649894399999,1888092.91870000,8137,101292.54000000,913343.63370000,0
2022-04-14,8.93000000,9.54000000,8.91000000,9.24000000,330715.02000000,1649980799999,3033214.15680000,13445,149656.91000000,1372603.79500000,0
2022-04-15,9.24000000,9.34000000,9.01000000,9.11000000,179351.47000000,1650067199999,1633011.15110000,6442,75364.95000000,686549.90460000,0
2022-04-16,9.10000000,9.21000000,8.87000000,8.99000000,68870.63000000,1650153599999,622216.70500000,3896,28136.40000000,254504.16090000,0
2022-04-17,8.99000000,9.02000000,8.65000000,8.67000000,44004.93000000,1650239999999,391716.84150000,2425,18361.09000000,163277.73260000,0
2022-04-18,8.67000000,9.08000000,8.31000000,9.01000000,88098.24000000,1650326399999,764004.11550000,5592,49587.01000000,429487.09250000,0
2022-04-19,9.01000000,9.35000000,8.87000000,9.26000000,87229.95000000,1650412799999,794796.83260000,4145,41691.64000000,380336.98680000,0
2022-04-20,9.24000000,9.56000000,8.94000000,9.07000000,137315.43000000,1650499199999,1278093.05690000,6782,71162.53000000,663572.33540000,0
2022-04-21,9.07000000,9.28000000,8.53000000,8.86000000,148450.13000000,1650585599999,1338262.13110000,6773,80461.81000000,724183.08300000,0
2022-04-22,8.85000000,8.94000000,8.48000000,8.64000000,125924.90000000,1650671999999,1098698.84980000,5223,58146.64000000,508530.37860000,0
2022-04-23,8.65000000,9.23000000,8.48000000,8.71000000,165767.52000000,1650758399999,1471257.29000000,6726,81196.72000000,720777.90090000,0
2022-04-24,8.71000000,9.03000000,8.45000000,8.54000000,136743.38000000,1650844799999,1190639.61520000,5900,68136.42000000,594029.97080000,0
2022-04-25,8.55000000,10.73000000,8.10000000,9.18000000,1796296.52000000,1650931199999,16437414.73940000,56294,1081032.91000000,9953199.37330000,0
2022-04-26,9.19000000,9.76000000,8.36000000,8.43000000,437722.34000000,1651017599999,4008235.64040000,16548,206864.70000000,1897197.13810000,0
2022-04-27,8.43000000,8.96000000,8.33000000,8.67000000,134930.21000000,1651103999999,1172028.73420000,5860,69358.97000000,602473.63430000,0
2022-04-28,8.67000000,8.87000000,8.44000000,8.59000000,132002.51000000,1651190399999,1141914.27400000,6691,64014.19000000,553227.79550000,0
2022-04-29,8.59000000,8.86000000,7.87000000,7.92000000,343252.29000000,1651276799999,2835418.76420000,10819,185115.40000000,1529003.95780000,0
2022-04-30,7.93000000,8.21000000,7.31000000,7.44000000,112460.97000000,1651363199999,879117.43500000,4846,47169.13000000,369542.88830000,0
2022-05-01,7.43000000,7.79000000,7.27000000,7.75000000,52883.97000000,1651449599999,399487.05000000,3520,25413.18000000,191856.11690000,0
2022-05-02,7.76000000,7.91000000,7.47000000,7.73000000,53570.62000000,1651535999999,412243.27410000,2721,29715.57000000,228982.97240000,0
2022-05-03,7.72000000,7.93000000,7.65000000,7.72000000,63075.36000000,1651622399999,492550.15690000,3313,28262.72000000,220769.74510000,0
2022-05-04,7.73000000,8.40000000,7.70000000,8.30000000,121203.02000000,1651708799999,979999.40730000,5853,61581.64000000,499010.84290000,0
2022-05-05,8.30000000,8.34000000,7.11000000,7.32000000,131106.87000000,1651795199999,1004942.14330000,4483,56455.61000000,430806.32800000,0
2022-05-06,7.32000000,7.39000000,6.96000000,7.31000000,98350.14000000,1651881599999,706610.06960000,3574,48768.33000000,350464.34000000,0
