timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-01-23,0.01021700,0.01083800,0.01019400,0.01059300,187432.29700000,1642982399999,1984.82530616,134518,98102.70800000,1038.96431638,0
2022-01-24,0.01059400,0.01059500,0.01001900,0.01012400,232897.68700000,1643068799999,2387.37398700,163416,117832.97800000,1208.14207631,0
2022-01-25,0.01012400,0.01044800,0.00999000,0.01042100,151576.32500000,1643155199999,1542.88176660,139374,77547.16700000,789.70071702,0
2022-01-26,0.01042100,0.01042300,0.01008400,0.01019000,163893.45400000,1643241599999,1678.90337730,143204,83014.89600000,850.61682582,0
2022-01-27,0.01019100,0.01086300,0.01005300,0.01049200,163805.18300000,1643327999999,1681.70902029,154825,86750.94800000,891.41991893,0
2022-01-28,0.01049400,0.01058100,0.01010500,0.01023100,136511.67800000,1643414399999,1422.62055120,114123,68077.52000000,709.79409763,0
2022-01-29,0.01023200,0.01041400,0.01007900,0.01019900,92555.87700000,1643500799999,949.81471210,88037,45416.39800000,466.17717038,0
2022-01-30,0.01020000,0.01021600,0.00991400,0.00995400,122634.41600000,1643587199999,1234.16038241,102995,61106.93600000,615.03407291,0
2022-01-31,0.00995500,0.01009500,0.00971900,0.00973000,118319.72200000,1643673599999,1178.43358215,93777,58344.72100000,581.14540395,0
2022-02-01,0.00973100,0.01001500,0.00973000,0.00992600,114345.11500000,1643759999999,1135.85311800,93680,56914.58400000,565.36832133,0
2022-02-02,0.00992600,0.01003200,0.00988600,0.00994800,110367.31900000,1643846399999,1098.30508193,86799,57579.33300000,573.08571856,0
2022-02-03,0.00994900,0.01002100,0.00988000,0.00997700,89432.57800000,1643932799999,890.01144071,72996,45807.20500000,455.97613280,0
2022-02-04,0.00997800,0.01001000,0.00957200,0.00961400,151214.71800000,1644019199999,1484.64953313,110074,66927.69700000,657.79343536,0
2022-02-05,0.00961200,0.01036100,0.00957800,0.00999900,160753.83600000,1644105599999,1614.54828558,143483,87717.47700000,881.09361807,0
2022-02-06,0.00999900,0.01012600,0.00983600,0.00991000,88828.33900000,1644191999999,886.49609757,76269,44390.84800000,443.18616673,0
2022-02-07,0.00991000,0.01011600,0.00983300,0.00988700,107759.14700000,1644278399999,1073.38354029,95120,53559.95800000,533.70738540,0
2022-02-08,0.00988800,0.00990400,0.00925400,0.00926000,149094.23800000,1644364799999,1437.30231667,119403,66286.21300000,639.81854166,0
2022-02-09,0.00926100,0.00967100,0.00924400,0.00952800,96942.47100000,1644451199999,922.56836902,81681,48347.00300000,460.20240997,0
2022-02-10,0.00952800,0.00971000,0.00937800,0.00953300,129879.99500000,1644537599999,1235.49016553,99527,65294.53400000,621.22364608,0
2022-02-11,0.00953200,0.00964600,0.00933800,0.00943900,95267.76500000,1644623999999,907.14337274,78284,47535.93300000,452.88699219,0
2022-02-12,0.00943900,0.00957600,0.00940200,0.00955600,76352.96100000,1644710399999,723.12218321,67688,38537.23300000,365.04195747,0
2022-02-13,0.00955800,0.00958900,0.00941600,0.00946300,63276.76200000,1644796799999,600.99107954,55854,30757.27900000,292.15573881,0
2022-02-14,0.00946300,0.00949700,0.00932600,0.00948400,76469.56300000,1644883199999,720.19914356,59722,37551.98700000,353.73628381,0
2022-02-15,0.00948300,0.01005800,0.00946000,0.00970900,187674.38600000,1644969599999,1825.60714292,139465,93822.90600000,912.49858220,0
2022-02-16,0.00970700,0.00985300,0.00965300,0.00973900,105111.20600000,1645055999999,1025.92246872,72557,47702.80400000,465.48115577,0
2022-02-17,0.00974000,0.00999300,0.00969200,0.00993200,113565.76100000,1645142399999,1117.35642755,77630,61226.15700000,602.49756533,0
2022-02-18,0.00993200,0.01007400,0.00984800,0.00998400,103972.38400000,1645228799999,1035.80220673,73650,53078.77500000,528.90204190,0
2022-02-19,0.00998400,0.01007400,0.00991000,0.00997200,72015.20600000,1645315199999,719.57663923,53724,38358.82800000,383.27752271,0
2022-02-20,0.00997200,0.01000000,0.00970400,0.00991800,102453.15800000,1645401599999,1010.52688463,73059,46665.47800000,460.62579927,0
2022-02-21,0.00991900,0.01004100,0.00962000,0.00963600,157322.37900000,1645487999999,1547.19677325,96902,79170.26500000,779.21346060,0
2022-02-22,0.00963600,0.00982000,0.00958400,0.00978700,134189.30300000,1645574399999,1300.35055566,79812,64769.90800000,628.11365081,0
2022-02-23,0.00978800,0.00995900,0.00976100,0.00981400,104749.01400000,1645660799999,1030.61540193,72735,55029.10200000,541.58639912,0
2022-02-24,0.00981400,0.01000000,0.00932300,0.00942400,220812.23100000,1645747199999,2119.55125802,146538,106945.04700000,1027.74041053,0
2022-02-25,0.00942500,0.00956600,0.00931300,0.00956100,106758.14500000,1645833599999,1004.29944407,69116,52430.82600000,493.33942601,0
2022-02-26,0.00956200,0.00969200,0.00950000,0.00955300,81615.70200000,1645919999999,782.65753758,57837,42845.45900000,411.00573428,0
2022-02-27,0.00955200,0.00968300,0.00947000,0.00955200,116969.84000000,1646006399999,1119.60565718,71333,63395.02500000,607.03184397,0
2022-02-28,0.00955100,0.00964400,0.00896600,0.00916400,138441.51900000,1646092799999,1299.82368635,98113,60795.77300000,571.96399022,0
2022-03-01,0.00916500,0.00976900,0.00906700,0.00920100,233040.35100000,1646179199999,2176.01115141,129164,117993.67600000,1103.57903490,0
2022-03-02,0.00920100,0.00938800,0.00914000,0.00932200,112479.08600000,1646265599999,1046.21398950,68067,58662.68200000,545.85800798,0
2022-03-03,0.00932100,0.00953200,0.00927200,0.00948200,92979.11000000,1646351999999,875.43718334,53828,51832.16900000,488.15676386,0
2022-03-04,0.00948300,0.00964900,0.00941700,0.00955900,96206.51700000,1646438399999,917.92758352,62781,51615.48400000,492.56013868,0
2022-03-05,0.00955800,0.00979200,0.00943100,0.00976100,132756.67300000,1646524799999,1281.75557115,83163,57551.26100000,556.05912154,0
2022-03-06,0.00976100,0.00983600,0.00969900,0.00976200,76027.19200000,1646611199999,742.29739437,50737,40992.64900000,400.35977473,0
2022-03-07,0.00976200,0.01017400,0.00964900,0.01001700,142759.94800000,1646697599999,1408.61155543,91357,79639.37200000,786.50248802,0
2022-03-08,0.01001800,0.01003500,0.00982000,0.00984800,89832.24100000,1646783999999,890.05321023,57213,44918.31000000,445.18150789,0
2022-03-09,0.00984700,0.00993800,0.00930000,0.00937600,177706.83000000,1646870399999,1688.52005090,96062,76217.86900000,724.52971060,0
2022-03-10,0.00937500,0.00967300,0.00928000,0.00943800,212459.15800000,1646956799999,2008.17095510,97145,117502.52500000,1111.01899551,0
2022-03-11,0.00943800,0.00964400,0.00940700,0.00960200,83122.44400000,1647043199999,792.62887037,55131,45124.85300000,430.40802633,0
2022-03-12,0.00960200,0.00967900,0.00950600,0.00959400,60069.12800000,1647129599999,577.50001939,41692,31071.34000000,298.74703285,0
2022-03-13,0.00959400,0.00965400,0.00951000,0.00956400,63366.63800000,1647215999999,606.72096254,44317,30801.37800000,294.95383091,0
2022-03-14,0.00956500,0.00960000,0.00930300,0.00941100,80355.33200000,1647302399999,761.56647001,53365,36226.49900000,343.39545959,0
2022-03-15,0.00941100,0.00949600,0.00938300,0.00946000,65460.34200000,1647388799999,618.25319081,44383,32446.75200000,306.47469012,0
2022-03-16,0.00946000,0.00951100,0.00919000,0.00937400,124681.94700000,1647475199999,1167.06531986,79608,59858.01600000,560.80471856,0
2022-03-17,0.00937500,0.00959600,0.00932300,0.00957400,84180.31600000,1647561599999,797.66351781,54886,45393.50900000,430.15717154,0
2022-03-18,0.00957600,0.00966200,0.00945100,0.00951000,86291.17800000,1647647999999,823.40254509,55258,44133.12500000,421.24239122,0
2022-03-19,0.00951100,0.00969600,0.00945100,0.00947200,93375.57000000,1647734399999,894.21755785,56494,45238.55900000,433.36783725,0
2022-03-20,0.00947300,0.00951100,0.00940200,0.00947100,57993.28400000,1647820799999,548.20569986,46523,28413.31100000,268.63015648,0
2022-03-21,0.00947000,0.00970600,0.00943400,0.00965800,78645.38400000,1647907199999,754.38429652,54590,45626.32600000,437.76572174,0
2022-03-22,0.00965800,0.00966800,0.00945400,0.00954200,96834.21800000,1647993599999,923.82421348,62409,46866.90200000,447.28849722,0
2022-03-23,0.00954200,0.00964200,0.00949400,0.00952100,70251.72700000,1648079999999,671.62242470,53719,37020.87600000,354.00297079,0
2022-03-24,0.00952200,0.00958600,0.00938500,0.00941500,86946.70900000,1648166399999,824.30926180,56271,40745.66100000,386.28943668,0
2022-03-25,0.00941500,0.00944100,0.00921600,0.00926200,80622.60400000,1648252799999,753.35559348,54858,36000.44800000,336.46745869,0
2022-03-26,0.00926100,0.00935100,0.00921300,0.00934500,49213.10300000,1648339199999,457.67544450,36530,25463.99900000,236.82356678,0
2022-03-27,0.00934500,0.00936000,0.00908200,0.00919700,73949.31300000,1648425599999,684.46928680,54647,34331.42300000,317.96329979,0
2022-03-28,0.00919600,0.00927200,0.00909700,0.00912600,93622.90900000,1648511999999,860.46885027,63261,46051.37400000,423.35778429,0
2022-03-29,0.00912600,0.00922700,0.00911500,0.00915500,76784.35500000,1648598399999,703.45427441,51213,39197.17100000,359.14706862,0
2022-03-30,0.00915500,0.00949500,0.00910100,0.00939300,109527.99000000,1648684799999,1019.00264116,70028,58143.77800000,541.06054585,0
2022-03-31,0.00939400,0.00954500,0.00920700,0.00942400,137073.94000000,1648771199999,1289.42956312,87935,66140.43300000,622.42685691,0
2022-04-01,0.00942400,0.00967900,0.00933700,0.00967200,137464.07200000,1648857599999,1308.06428672,88719,71842.62600000,684.05514868,0
2022-04-02,0.00967200,0.00973700,0.00951300,0.00954300,85391.72200000,1648943999999,821.88040888,66642,41616.07500000,400.71575902,0
2022-04-03,0.00954300,0.00970000,0.00948500,0.00970000,83022.87300000,1649030399999,796.80062066,61779,43916.42700000,421.62092933,0
2022-04-04,0.00970000,0.00972000,0.00957700,0.00961000,81996.08500000,1649116799999,791.22125420,55826,44746.48500000,431.84516604,0
2022-04-05,0.00961000,0.00985000,0.00960400,0.00977300,102176.98400000,1649203199999,997.57178260,66414,56041.74600000,547.24017941,0
2022-04-06,0.00977300,0.00978700,0.00962100,0.00973100,91022.29100000,1649289599999,884.08891194,66097,45535.22400000,442.42863161,0
2022-04-07,0.00973100,0.01005000,0.00972200,0.01003800,123069.14700000,1649375999999,1220.56200237,75948,71800.15200000,712.26600062,0
2022-04-08,0.01003800,0.01010600,0.00986100,0.00997200,80294.86300000,1649462399999,799.84918735,64391,42583.02600000,424.40876857,0
2022-04-09,0.00997100,0.01006800,0.00990800,0.00998000,53766.83700000,1649548799999,537.01916786,50134,27016.05900000,269.87149786,0
2022-04-10,0.00998000,0.01000500,0.00985900,0.00991700,56517.68500000,1649635199999,561.40445454,44519,28228.45300000,280.44859205,0
