timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-01-23,0.06877900,0.07082600,0.06828600,0.07005700,89935.65630000,1642982399999,6245.09384186,173479,44152.51720000,3066.56107829,0
2022-01-24,0.07005600,0.07011200,0.06467500,0.06654900,154668.42720000,1643068799999,10330.13218985,285512,73507.10760000,4910.92702406,0
2022-01-25,0.06654400,0.06708900,0.06560900,0.06651800,77601.70950000,1643155199999,5148.99309519,155356,37464.70960000,2486.13461420,0
2022-01-26,0.06653500,0.06994300,0.06558000,0.06691900,115408.26770000,1643241599999,7805.27797902,236176,55175.95080000,3730.39024326,0
2022-01-27,0.06691800,0.06800300,0.06471500,0.06522800,84365.66240000,1643327999999,5612.90624784,180105,41557.52050000,2765.11740960,0
2022-01-28,0.06524500,0.06768000,0.06446500,0.06748400,80929.30190000,1643414399999,5328.19889217,174451,41794.74520000,2752.03945904,0
2022-01-29,0.06748400,0.06870000,0.06703400,0.06816500,54390.81110000,1643500799999,3690.50385989,126530,26993.21280000,1831.32444287,0
2022-01-30,0.06816300,0.06922000,0.06762000,0.06867900,44864.53870000,1643587199999,3071.76144067,113649,22313.94090000,1528.04231209,0
2022-01-31,0.06867400,0.07020500,0.06722000,0.06984500,67949.17870000,1643673599999,4680.54997941,154227,35377.17090000,2436.75564789,0
2022-02-01,0.06985200,0.07219300,0.06972100,0.07203000,74060.28780000,1643759999999,5287.20863841,153847,36175.94000000,2583.58145582,0
2022-02-02,0.07203100,0.07328100,0.07086000,0.07261100,71100.48060000,1643846399999,5114.36234379,170979,36454.95830000,2623.54126692,0
2022-02-03,0.07262600,0.07360000,0.07083900,0.07225000,58868.73460000,1643932799999,4229.50748633,145767,29721.28350000,2136.44604309,0
2022-02-04,0.07224500,0.07508300,0.07159900,0.07204900,95363.05410000,1644019199999,7014.73034325,224702,49638.16730000,3650.32555113,0
2022-02-05,0.07203000,0.07317200,0.07141700,0.07280600,53047.78980000,1644105599999,3847.12974705,130431,23701.71010000,1719.07639998,0
2022-02-06,0.07279700,0.07304100,0.07155000,0.07209700,32192.80900000,1644191999999,2325.18105262,88628,15702.77400000,1134.31223012,0
2022-02-07,0.07209200,0.07256700,0.07106600,0.07162100,57160.32290000,1644278399999,4102.62827644,145703,27452.28850000,1970.65039646,0
2022-02-08,0.07161900,0.07178100,0.07032800,0.07076900,62473.73050000,1644364799999,4429.76160706,175591,31000.29630000,2198.17093621,0
2022-02-09,0.07077000,0.07327100,0.07054000,0.07309700,61966.39740000,1644451199999,4468.19587812,141779,30111.57460000,2169.88365586,0
2022-02-10,0.07309600,0.07340600,0.07015900,0.07064200,73001.58190000,1644537599999,5227.37648417,179510,36718.53130000,2627.81608618,0
2022-02-11,0.07063800,0.07165700,0.06835900,0.06908800,50767.96510000,1644623999999,3580.82941611,143814,25238.49460000,1781.14586244,0
2022-02-12,0.06909300,0.06988800,0.06818000,0.06913800,47198.19560000,1644710399999,3258.99833866,126870,23481.21850000,1622.01100969,0
2022-02-13,0.06913400,0.06934000,0.06773200,0.06826200,30709.59610000,1644796799999,2107.45370502,89089,14629.12380000,1004.08201954,0
2022-02-14,0.06826900,0.06942500,0.06785200,0.06887300,40430.16190000,1644883199999,2770.92710654,109111,20370.55590000,1396.32806759,0
2022-02-15,0.06887600,0.07170000,0.06850100,0.07147200,51576.43920000,1644969599999,3619.60369895,125749,23039.10180000,1615.24632779,0
2022-02-16,0.07147300,0.07192100,0.07012100,0.07115700,43362.48320000,1645055999999,3082.87318275,118757,20427.15760000,1452.56778943,0
2022-02-17,0.07116100,0.07159400,0.06990400,0.07137300,52729.08200000,1645142399999,3736.02326148,161220,26979.77570000,1911.88423680,0
2022-02-18,0.07137100,0.07200000,0.06910000,0.06952100,55273.29570000,1645228799999,3903.45615129,144561,28044.63760000,1981.18390880,0
2022-02-19,0.06952700,0.07038500,0.06801600,0.06895600,42240.95270000,1645315199999,2917.04671858,109935,19912.42840000,1376.00205011,0
2022-02-20,0.06895600,0.06954900,0.06738200,0.06830100,51213.69280000,1645401599999,3506.47382328,144194,26988.25540000,1849.70780268,0
2022-02-21,0.06829400,0.07044800,0.06817500,0.06939500,70371.21820000,1645487999999,4904.82475969,204122,35756.10340000,2492.22371246,0
2022-02-22,0.06939400,0.06996800,0.06805100,0.06896200,56003.19520000,1645574399999,3864.53939332,176294,27966.76380000,1930.12414282,0
2022-02-23,0.06896500,0.07077700,0.06868500,0.06924800,51242.35850000,1645660799999,3581.48928683,193733,26044.82080000,1820.51263854,0
2022-02-24,0.06924900,0.07030000,0.06666300,0.06774800,115117.23240000,1645747199999,7838.93773929,374978,56717.05690000,3863.95549324,0
2022-02-25,0.06775600,0.07168000,0.06738600,0.07058600,75461.10620000,1645833599999,5203.05974502,268572,39915.45000000,2754.07713083,0
