timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-01-23,2134.35000000,2258.69000000,2097.67000000,2244.53000000,38240.17250000,1642982399999,83310602.40545800,99992,20002.09280000,43628969.64515800,0
2022-01-24,2244.81000000,2244.81000000,1911.17000000,2158.37000000,66099.92550000,1643068799999,135196013.69501570,153053,34230.09338000,69976913.08020570,0
2022-01-25,2159.20000000,2222.83000000,2080.76000000,2178.38000000,26889.82020000,1643155199999,57895077.01538100,75235,15651.87720000,33729529.72844900,0
2022-01-26,2178.30000000,2414.00000000,2139.98000000,2195.26000000,41430.19430000,1643241599999,93666721.52209300,109685,22751.81380000,51444959.40638800,0
2022-01-27,2194.84000000,2262.26000000,2081.51000000,2176.33000000,32964.44540000,1643327999999,71450305.64829500,91861,17817.56310000,38641317.57355300,0
2022-01-28,2177.29000000,2298.93000000,2119.86000000,2288.32000000,28400.66240000,1643414399999,62053026.26772800,84151,15372.87780000,33578542.15874100,0
2022-01-29,2288.10000000,2372.50000000,2265.65000000,2341.18000000,18832.72340000,1643500799999,43563774.74731200,59847,9854.87740000,22799835.91846700,0
2022-01-30,2340.72000000,2374.87000000,2288.28000000,2336.90000000,20063.02260000,1643587199999,46845625.88622100,58146,10786.03130000,25196063.49723600,0
2022-01-31,2336.55000000,2412.00000000,2222.42000000,2393.78000000,26271.81620000,1643673599999,60884993.55506800,70773,13094.58840000,30368261.60710900,0
2022-02-01,2393.84000000,2506.13000000,2382.58000000,2477.33000000,25491.99720000,1643759999999,62565076.46569200,76716,12760.29600000,31322386.94856000,0
2022-02-02,2476.15000000,2490.65000000,2318.42000000,2377.22000000,29329.63780000,1643846399999,70679118.87592800,76605,14701.75060000,35427968.81021700,0
2022-02-03,2378.19000000,2417.50000000,2254.00000000,2360.22000000,30642.44110000,1643932799999,71300032.70226200,77304,17295.52580000,40246328.17805300,0
2022-02-04,2359.60000000,2619.46000000,2335.92000000,2618.67000000,41617.54390000,1644019199999,103328533.05763400,95590,22862.39630000,56672348.20281300,0
2022-02-05,2618.66000000,2675.70000000,2587.00000000,2633.69000000,21892.54150000,1644105599999,57643653.77681100,63037,11278.32180000,29700796.06186100,0
2022-02-06,2633.88000000,2686.62000000,2581.74000000,2669.60000000,16133.20820000,1644191999999,42394651.53041500,48404,8405.85590000,22086694.29789200,0
2022-02-07,2669.86000000,2792.48000000,2615.42000000,2746.52000000,28691.35200000,1644278399999,77859063.64292100,85164,15973.11770000,43371977.27781300,0
2022-02-08,2747.90000000,2833.00000000,2652.00000000,2733.83000000,34226.77180000,1644364799999,93308278.08859500,92871,18183.23690000,49592427.80936500,0
2022-02-09,2733.82000000,2863.00000000,2675.16000000,2844.72000000,27052.23250000,1644451199999,74819287.80592300,80000,14645.50640000,40473989.17547600,0
2022-02-10,2844.21000000,2872.17000000,2681.26000000,2694.34000000,35748.87540000,1644537599999,99588566.23016200,116362,19262.48780000,53672901.65570600,0
2022-02-11,2694.48000000,2757.04000000,2538.89000000,2582.18000000,30310.88250000,1644623999999,81249964.04961700,94139,15830.97160000,42471381.72616600,0
2022-02-12,2582.51000000,2633.09000000,2521.80000000,2575.72000000,18750.01910000,1644710399999,48300597.42529900,66039,9192.65980000,23684584.42217000,0
2022-02-13,2574.95000000,2607.67000000,2505.24000000,2529.69000000,16160.34520000,1644796799999,41428159.07949400,52762,8408.15380000,21557161.43738000,0
2022-02-14,2530.00000000,2624.72000000,2494.86000000,2593.32000000,22917.54030000,1644883199999,58650252.83239800,68734,11644.02760000,29803552.78847100,0
2022-02-15,2593.45000000,2815.00000000,2577.86000000,2803.14000000,21367.14110000,1644969599999,58077628.71514500,66146,11335.50590000,30805779.29754600,0
2022-02-16,2804.03000000,2804.47000000,2681.22000000,2745.91000000,18350.43860000,1645055999999,50418865.26190700,58368,9711.02350000,26689254.21030000,0
2022-02-17,2745.93000000,2779.73000000,2511.73000000,2547.15000000,33529.56070000,1645142399999,88909715.75716600,88222,16916.90940000,44887320.24706300,0
2022-02-18,2547.16000000,2591.79000000,2433.00000000,2457.45000000,27176.54580000,1645228799999,68334646.92376200,71727,14322.38750000,36048628.17106300,0
2022-02-19,2457.80000000,2503.00000000,2383.74000000,2444.16000000,15232.43920000,1645315199999,37233485.40138700,46967,7909.97370000,19332865.88422000,0
2022-02-20,2444.49000000,2444.79000000,2276.78000000,2317.90000000,20450.16180000,1645401599999,47859842.45490200,64727,9755.75610000,22831685.15571700,0
2022-02-21,2317.51000000,2429.02000000,2265.00000000,2274.68000000,39590.80980000,1645487999999,93274471.52126900,100477,20530.44190000,48400638.89371300,0
2022-02-22,2273.98000000,2351.00000000,2213.36000000,2329.60000000,33837.80880000,1645574399999,77173042.85370100,85324,18409.47430000,41980401.75670200,0
2022-02-23,2329.74000000,2426.98000000,2280.00000000,2282.69000000,22931.56850000,1645660799999,54079485.45694500,63643,11804.16370000,27846959.39611300,0
2022-02-24,2283.32000000,2447.17000000,2046.30000000,2317.13000000,60233.22720000,1645747199999,132267266.19169500,133637,30719.43200000,67421684.52133600,0
2022-02-25,2317.43000000,2517.87000000,2302.42000000,2458.00000000,28883.43920000,1645833599999,68997813.60632300,69214,15186.89900000,36295305.85346600,0
2022-02-26,2459.10000000,2553.14000000,2423.43000000,2468.50000000,15636.52070000,1645919999999,38816072.09427600,41479,7818.07480000,19412488.32320400,0
2022-02-27,2469.22000000,2518.33000000,2296.01000000,2342.87000000,27140.31940000,1646006399999,65345005.58111100,64428,13205.83310000,31809466.59027400,0
2022-02-28,2343.67000000,2627.99000000,2305.41000000,2605.50000000,33491.20980000,1646092799999,81261587.76400600,72203,18063.81460000,43782687.37148200,0
2022-03-01,2605.42000000,2723.48000000,2551.50000000,2675.87000000,27878.82130000,1646179199999,73564485.11448600,67461,14853.01630000,39207798.80028200,0
