timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-01-23,0.00309300,0.00311900,0.00301100,0.00309700,183447.99600000,1642982399999,562.51997398,56002,95110.35100000,291.66080669,0
2022-01-24,0.00309700,0.00309800,0.00293100,0.00298800,261579.83100000,1643068799999,784.23529773,65750,113257.30100000,339.58481523,0
2022-01-25,0.00298800,0.00299700,0.00290800,0.00291700,111802.75800000,1643155199999,330.16652389,40931,53451.37600000,157.86147393,0
2022-01-26,0.00291800,0.00299600,0.00287500,0.00290500,138893.19500000,1643241599999,406.18141101,46362,66072.39400000,193.19276379,0
2022-01-27,0.00290600,0.00297300,0.00287100,0.00287700,104793.21700000,1643327999999,306.78332563,33262,49606.73500000,145.24863759,0
2022-01-28,0.00287700,0.00294000,0.00287100,0.00290000,85319.59800000,1643414399999,247.31529165,25685,41583.68400000,120.53841313,0
2022-01-29,0.00290100,0.00292600,0.00287900,0.00290400,72228.25100000,1643500799999,209.64897070,22721,36120.40900000,104.86059591,0
2022-01-30,0.00290400,0.00294200,0.00284400,0.00286600,73238.22500000,1643587199999,212.26332236,23429,35204.91700000,102.03505870,0
2022-01-31,0.00286600,0.00288000,0.00281500,0.00284700,98175.70400000,1643673599999,279.91539380,26106,48097.06000000,137.13275940,0
2022-02-01,0.00284500,0.00301300,0.00283500,0.00297300,125186.33000000,1643759999999,364.45876473,34488,66723.84400000,194.27588626,0
2022-02-02,0.00297300,0.00299400,0.00291800,0.00293700,110779.81900000,1643846399999,328.09902024,38733,53696.82300000,159.04410646,0
2022-02-03,0.00293500,0.00298200,0.00289800,0.00297400,102785.15400000,1643932799999,301.93579546,33050,51257.16100000,150.53392128,0
2022-02-04,0.00297400,0.00300700,0.00289600,0.00292000,107418.43800000,1644019199999,315.94744642,37059,50598.68400000,148.89222535,0
2022-02-05,0.00291900,0.00296800,0.00286600,0.00294200,102660.31500000,1644105599999,300.76195234,35544,53582.33900000,156.95283132,0
2022-02-06,0.00294100,0.00306900,0.00293100,0.00301100,125504.14500000,1644191999999,374.82643890,37140,61524.77800000,183.91187712,0
2022-02-07,0.00301000,0.00316500,0.00296000,0.00313100,136962.98300000,1644278399999,417.59515587,41483,70589.94800000,214.96081668,0
2022-02-08,0.00313200,0.00324600,0.00301000,0.00303700,157076.92600000,1644364799999,487.66703469,45882,77182.41900000,239.65744893,0
2022-02-09,0.00303400,0.00320400,0.00302900,0.00315600,111540.69400000,1644451199999,350.44796652,34142,58014.49700000,182.23603592,0
2022-02-10,0.00315700,0.00318800,0.00304900,0.00309200,90891.43100000,1644537599999,284.13098142,36554,42932.96500000,134.25801303,0
2022-02-11,0.00309300,0.00310100,0.00295800,0.00296400,95656.68700000,1644623999999,291.17944242,33957,44462.12900000,135.41799647,0
2022-02-12,0.00296300,0.00301800,0.00289600,0.00300300,92350.16300000,1644710399999,272.21121959,32118,47249.32500000,139.31645058,0
2022-02-13,0.00300200,0.00302000,0.00294700,0.00298700,58046.75400000,1644796799999,173.10302712,22597,28728.26600000,85.68851989,0
2022-02-14,0.00298800,0.00299000,0.00289500,0.00292900,88004.41700000,1644883199999,258.63811574,24738,46458.25900000,136.54886236,0
2022-02-15,0.00292900,0.00298400,0.00291400,0.00295500,70607.27800000,1644969599999,208.22001777,26889,33247.78200000,98.04185266,0
2022-02-16,0.00295400,0.00296700,0.00288200,0.00291100,63049.38900000,1645055999999,184.38727350,22985,30301.10200000,88.68974947,0
2022-02-17,0.00291200,0.00293800,0.00283700,0.00287000,88098.92800000,1645142399999,254.66663193,31308,44512.48100000,128.72314203,0
2022-02-18,0.00287200,0.00303500,0.00285500,0.00287200,138199.74100000,1645228799999,404.92017535,38464,69582.06100000,203.90309626,0
2022-02-19,0.00287100,0.00290800,0.00284700,0.00288300,88257.19500000,1645315199999,254.26273666,27464,47947.11000000,138.11857856,0
2022-02-20,0.00288400,0.00289600,0.00282500,0.00288200,86721.83400000,1645401599999,248.03304970,33024,44100.14900000,126.12036821,0
2022-02-21,0.00288300,0.00291800,0.00276300,0.00277800,94009.66000000,1645487999999,269.07225393,26359,42496.34200000,121.83228597,0
2022-02-22,0.00277900,0.00282700,0.00275400,0.00280900,96059.37900000,1645574399999,267.40196229,26287,49393.40900000,137.45374247,0
