timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-01-23,4.41300000,4.79100000,4.30900000,4.65500000,7881737.40000000,1642982399999,35789652.21210000,101913,4028539.00000000,18307362.73910000,0
2022-01-24,4.65400000,4.65500000,3.79200000,4.39800000,9824475.90000000,1643068799999,40718650.32350000,117890,4774426.30000000,19825859.42020000,0
2022-01-25,4.40000000,4.65800000,4.26400000,4.54000000,5593359.90000000,1643155199999,24860395.12470000,77355,2882720.70000000,12823687.96390000,0
2022-01-26,4.54000000,4.81800000,4.11000000,4.26400000,11600034.60000000,1643241599999,51578915.03950000,153551,5498031.70000000,24439779.95610000,0
2022-01-27,4.26400000,4.28800000,3.85200000,4.05400000,8536322.80000000,1643327999999,34965215.89380000,99261,4365807.70000000,17887290.70610000,0
2022-01-28,4.05500000,4.21800000,3.93100000,4.15900000,6314605.80000000,1643414399999,25863691.59240000,71853,3175022.20000000,13007922.20380000,0
2022-01-29,4.16100000,4.32000000,4.10700000,4.18900000,5301337.40000000,1643500799999,22245313.46540000,59915,2674225.20000000,11225754.62930000,0
2022-01-30,4.18800000,4.35600000,4.00200000,4.08600000,4520619.80000000,1643587199999,18861288.56280000,64096,2219298.90000000,9254813.20670000,0
2022-01-31,4.08700000,4.31200000,3.86800000,4.21900000,5535394.60000000,1643673599999,22748564.83220000,70474,2731645.20000000,11226447.39600000,0
2022-02-01,4.22300000,4.49000000,4.20000000,4.35300000,5656803.20000000,1643759999999,24703849.51580000,74526,2666241.00000000,11643643.07530000,0
2022-02-02,4.35100000,4.44600000,4.03200000,4.08400000,5986536.20000000,1643846399999,25535355.20580000,72107,2851991.40000000,12155713.45110000,0
2022-02-03,4.08900000,4.13500000,3.92700000,4.09600000,3533799.40000000,1643932799999,14256350.60640000,47114,1722706.40000000,6954502.13950000,0
2022-02-04,4.09600000,4.48000000,4.03600000,4.45700000,5607094.20000000,1644019199999,23633562.55800000,69177,2748764.60000000,11584772.88770000,0
2022-02-05,4.46200000,4.90000000,4.42400000,4.68100000,7867956.00000000,1644105599999,37052747.04750000,118866,3832577.40000000,18048638.84530000,0
2022-02-06,4.67900000,4.80900000,4.46200000,4.80400000,4394200.40000000,1644191999999,20463409.22120000,60110,2232471.40000000,10398990.62900000,0
2022-02-07,4.80300000,4.96900000,4.66100000,4.96000000,7466245.20000000,1644278399999,36172284.37220000,98162,3696057.30000000,17910102.57870000,0
2022-02-08,4.96100000,5.08600000,4.50700000,4.64700000,7920374.30000000,1644364799999,37664821.13710000,108617,3812510.50000000,18146039.16090000,0
2022-02-09,4.64800000,4.78900000,4.54300000,4.75800000,4441114.70000000,1644451199999,20831872.98180000,55373,2152891.30000000,10109016.07750000,0
2022-02-10,4.75700000,4.83700000,4.36200000,4.40700000,6476796.10000000,1644537599999,29963036.27970000,84987,3055513.80000000,14144685.66060000,0
2022-02-11,4.40600000,4.51900000,4.03600000,4.09500000,4844315.60000000,1644623999999,21101685.51570000,59526,2378103.90000000,10362472.56990000,0
2022-02-12,4.09400000,4.27300000,4.00300000,4.15300000,3199431.70000000,1644710399999,13254385.49860000,38839,1561692.40000000,6470878.32200000,0
2022-02-13,4.15600000,4.25600000,3.97700000,4.03400000,2454776.90000000,1644796799999,10114534.17460000,28854,1152647.40000000,4756339.14240000,0
2022-02-14,4.03100000,4.12400000,3.93600000,4.06300000,2889310.70000000,1644883199999,11678518.52370000,33653,1417487.80000000,5733552.63890000,0
2022-02-15,4.06300000,4.44800000,4.06300000,4.42800000,3440207.70000000,1644969599999,14661079.12770000,41789,1879227.60000000,8007218.42720000,0
2022-02-16,4.42800000,4.43000000,4.18200000,4.29900000,3465566.30000000,1645055999999,14954696.66980000,45173,1680340.50000000,7252236.38380000,0
2022-02-17,4.29900000,4.33400000,3.89100000,3.95100000,4404623.70000000,1645142399999,18132077.01230000,51853,2118447.20000000,8716323.76180000,0
2022-02-18,3.95000000,4.09400000,3.81700000,3.89700000,3523339.50000000,1645228799999,13907640.46220000,36537,1718720.60000000,6782126.34460000,0
2022-02-19,3.89700000,3.95700000,3.73700000,3.86600000,2490841.00000000,1645315199999,9595541.47440000,24683,1208023.80000000,4653788.59260000,0
2022-02-20,3.86400000,3.87000000,3.55500000,3.63400000,4058480.70000000,1645401599999,14881861.36830000,41597,1986559.00000000,7281887.23470000,0
2022-02-21,3.63500000,3.80400000,3.25500000,3.26900000,6614651.61400000,1645487999999,23684688.39581000,61906,3255620.67700000,11662761.97943000,0
2022-02-22,3.27000000,3.40700000,3.13200000,3.39300000,5179243.82700000,1645574399999,16944167.68570700,44500,2599940.00000000,8506094.79840000,0
2022-02-23,3.39400000,3.55800000,3.27200000,3.28000000,3670330.80000000,1645660799999,12627675.25510000,32532,1777398.00000000,6117943.58120000,0
2022-02-24,3.27900000,3.30000000,2.75300000,3.14000000,11012051.29000000,1645747199999,32904367.64350600,100746,5498184.40000000,16431941.51230000,0
2022-02-25,3.14000000,3.35100000,3.08400000,3.30200000,4970073.20000000,1645833599999,15952248.46970000,49750,2443355.70000000,7834679.36700000,0
2022-02-26,3.30200000,3.42900000,3.20600000,3.25100000,4283655.10000000,1645919999999,14155873.48520000,46779,2164570.70000000,7153626.73480000,0
2022-02-27,3.25300000,3.44900000,3.05800000,3.12200000,7637152.20000000,1646006399999,24905292.65710000,80504,3799684.00000000,12406589.26110000,0
2022-02-28,3.12300000,3.54000000,3.08900000,3.53700000,5998972.70000000,1646092799999,19724290.51190000,65643,2979130.10000000,9801412.17550000,0
2022-03-01,3.53700000,3.62200000,3.40300000,3.47400000,6726599.10000000,1646179199999,23559410.50430000,74288,3299421.80000000,11551357.03850000,0
2022-03-02,3.47400000,3.63100000,3.36300000,3.40800000,7794290.60000000,1646265599999,27093793.25580000,77380,3809750.60000000,13244306.02050000,0
2022-03-03,3.40800000,3.43000000,3.22600000,3.30800000,4164654.60000000,1646351999999,13892453.34660000,42239,2031603.30000000,6777022.78530000,0
2022-03-04,3.30700000,3.31600000,3.00000000,3.04200000,4539160.90000000,1646438399999,14423511.04860000,43628,2215205.80000000,7041983.92100000,0
2022-03-05,3.04200000,3.13700000,2.94400000,3.10400000,3421078.60000000,1646524799999,10449125.48040000,29386,1643751.60000000,5017787.30730000,0
2022-03-06,3.10300000,3.14000000,2.89200000,2.90300000,4833709.10000000,1646611199999,14649630.70750000,44221,2429377.00000000,7370052.30950000,0
2022-03-07,2.90200000,3.02600000,2.77500000,2.88000000,5569641.50000000,1646697599999,16098893.32690000,48567,2727058.70000000,7883491.71560000,0
2022-03-08,2.87600000,3.09100000,2.81700000,2.90000000,7269552.30000000,1646783999999,21457628.74500000,55408,3498684.90000000,10325952.75790000,0
2022-03-09,2.90000000,3.24100000,2.89500000,3.18300000,5811914.40000000,1646870399999,18000946.44020000,49622,2777452.40000000,8604153.49060000,0
2022-03-10,3.18200000,3.18900000,2.86800000,2.98400000,5229227.90000000,1646956799999,15545053.54440000,44022,2567843.10000000,7624512.23240000,0
2022-03-11,2.98600000,3.00600000,2.85200000,2.89600000,3778124.50000000,1647043199999,11067819.43620000,30129,1831940.00000000,5367420.86010000,0
2022-03-12,2.89500000,2.98800000,2.89300000,2.90900000,2444595.80000000,1647129599999,7184737.71850000,18936,1208604.00000000,3552528.98960000,0
2022-03-13,2.90800000,2.96200000,2.75400000,2.78800000,2882371.60000000,1647215999999,8290842.92170000,24003,1474962.10000000,4238947.04480000,0
