timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-01-23,0.05679000,0.05854000,0.05535000,0.05752000,1739505171.40000000,1642982399999,99472712.07927000,220119,900299759.50000000,51483372.89656100,0
2022-01-24,0.05750000,0.05755000,0.05101000,0.05506000,2711696074.20000000,1643068799999,145700648.09069300,329182,1387142256.80000000,74541511.60909000,0
2022-01-25,0.05504000,0.05616000,0.05429000,0.05588000,1740384902.00000000,1643155199999,96011838.31335100,186084,889381771.60000000,49062571.28023400,0
2022-01-26,0.05589000,0.05905000,0.05534000,0.05620000,1656601994.60000000,1643241599999,94351917.92697300,221468,842537653.70000000,47999335.79370800,0
2022-01-27,0.05619000,0.05716000,0.05442000,0.05649000,1392669179.50000000,1643327999999,77798105.37518200,163317,685584735.30000000,38313913.83018700,0
2022-01-28,0.05649000,0.05767000,0.05580000,0.05757000,1210381796.80000000,1643414399999,68614852.47427400,138598,630848123.20000000,35766695.44761100,0
2022-01-29,0.05757000,0.06039000,0.05711000,0.06034000,1117040029.20000000,1643500799999,65600598.85507600,130590,577857527.70000000,33930492.43254900,0
2022-01-30,0.06035000,0.06054000,0.05821000,0.05863000,1080261077.50000000,1643587199999,64527175.67746400,129712,540858350.50000000,32304110.26189400,0
2022-01-31,0.05862000,0.05938000,0.05665000,0.05906000,1089882869.60000000,1643673599999,63177256.70493700,130666,553437723.30000000,32090785.92997400,0
2022-02-01,0.05909000,0.06025000,0.05882000,0.05979000,1103088489.00000000,1643759999999,65716323.00759000,120347,570353410.10000000,33975525.99665000,0
2022-02-02,0.05979000,0.06154000,0.05843000,0.05847000,1391192801.40000000,1643846399999,83761599.12912700,146396,704659617.90000000,42454695.54971200,0
2022-02-03,0.05847000,0.05987000,0.05826000,0.05981000,1122173232.40000000,1643932799999,66196504.92442500,111787,585107372.10000000,34518630.21530700,0
2022-02-04,0.05981000,0.06458000,0.05961000,0.06441000,1518651621.70000000,1644019199999,94990073.27754000,210338,799433851.60000000,50008370.50736700,0
2022-02-05,0.06442000,0.06621000,0.06354000,0.06467000,1282234491.00000000,1644105599999,83259560.90810000,174191,653830258.00000000,42456834.48954900,0
2022-02-06,0.06467000,0.06634000,0.06433000,0.06617000,986081488.80000000,1644191999999,64420718.03590200,125296,513167838.90000000,33529344.65745100,0
2022-02-07,0.06616000,0.06933000,0.06523000,0.06852000,1614783612.60000000,1644278399999,108949996.65559500,197227,832482623.30000000,56179843.40719800,0
2022-02-08,0.06852000,0.07024000,0.06677000,0.06806000,1901816275.50000000,1644364799999,129952813.20225400,209208,932065475.10000000,63707624.32361700,0
2022-02-09,0.06808000,0.07004000,0.06735000,0.06991000,1299493837.80000000,1644451199999,89499960.20586800,155434,659411611.90000000,45418532.04475600,0
2022-02-10,0.06991000,0.07165000,0.06837000,0.06850000,1631532092.60000000,1644537599999,114262550.02463500,234140,843675588.70000000,59093897.78547600,0
2022-02-11,0.06850000,0.06850000,0.06337000,0.06399000,1666467885.80000000,1644623999999,110359837.31929100,191809,819123926.60000000,54241618.93855000,0
2022-02-12,0.06399000,0.06507000,0.06216000,0.06352000,1439122189.30000000,1644710399999,91799751.97634500,148460,726916316.30000000,46378061.44304700,0
2022-02-13,0.06352000,0.06503000,0.06316000,0.06427000,1383448320.20000000,1644796799999,88798306.55353800,107317,716942028.00000000,46018179.74780200,0
2022-02-14,0.06427000,0.06543000,0.06328000,0.06442000,1274185471.10000000,1644883199999,81758599.43739100,132140,636963175.20000000,40886783.90210100,0
2022-02-15,0.06441000,0.06700000,0.06437000,0.06685000,1352162335.20000000,1644969599999,89395432.18090300,143596,724006414.10000000,47857189.31019700,0
2022-02-16,0.06686000,0.06693000,0.06550000,0.06640000,1080430061.40000000,1645055999999,71625161.45208600,123656,557830186.80000000,36986005.33984800,0
2022-02-17,0.06641000,0.06712000,0.06206000,0.06249000,1482815072.20000000,1645142399999,96226993.80054200,160628,746149631.70000000,48447098.92654600,0
2022-02-18,0.06249000,0.06411000,0.06208000,0.06306000,1492712895.50000000,1645228799999,94301518.43306100,140857,745659680.90000000,47102743.34185200,0
2022-02-19,0.06306000,0.06439000,0.06288000,0.06348000,1243122522.00000000,1645315199999,79321509.80564500,123216,653292523.80000000,41690993.39770500,0
2022-02-20,0.06348000,0.06356000,0.06103000,0.06199000,1624256236.50000000,1645401599999,100717538.81194900,131630,828994537.60000000,51406574.35916200,0
