timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-01-23,0.00001701,0.00001742,0.00001693,0.00001734,36531947.00000000,1642982399999,628.65470720,43362,18615567.00000000,320.33771647,0
2022-01-24,0.00001735,0.00001738,0.00001644,0.00001669,55068766.00000000,1643068799999,928.90302552,59217,27647083.00000000,466.69932370,0
2022-01-25,0.00001669,0.00001697,0.00001635,0.00001671,30587878.00000000,1643155199999,506.22004582,53570,16217788.00000000,268.52244848,0
2022-01-26,0.00001671,0.00001703,0.00001645,0.00001682,40334600.00000000,1643241599999,672.93070414,60439,21222972.00000000,354.13309517,0
2022-01-27,0.00001683,0.00001689,0.00001636,0.00001639,27338160.00000000,1643327999999,454.66819259,38707,12968467.00000000,215.83603799,0
2022-01-28,0.00001639,0.00001646,0.00001606,0.00001620,22968679.00000000,1643414399999,374.12614005,32346,11561305.00000000,188.37530377,0
2022-01-29,0.00001620,0.00001640,0.00001609,0.00001618,14099455.00000000,1643500799999,229.37262172,26408,7214567.00000000,117.42340465,0
2022-01-30,0.00001618,0.00001631,0.00001586,0.00001588,15703319.00000000,1643587199999,253.49798429,24598,7209182.00000000,116.44447041,0
2022-01-31,0.00001588,0.00001624,0.00001568,0.00001605,20105943.00000000,1643673599999,318.85990938,29899,10579463.00000000,167.84134139,0
2022-02-01,0.00001606,0.00001625,0.00001591,0.00001623,16364541.00000000,1643759999999,263.82180282,26911,8346593.00000000,134.60953936,0
2022-02-02,0.00001624,0.00001642,0.00001617,0.00001628,19476491.00000000,1643846399999,317.06807275,30619,10713869.00000000,174.46896665,0
2022-02-03,0.00001628,0.00001648,0.00001617,0.00001635,17569927.00000000,1643932799999,287.02586019,28454,8509117.00000000,139.03258497,0
2022-02-04,0.00001635,0.00001641,0.00001563,0.00001577,26668770.00000000,1644019199999,427.93149677,36029,13375808.00000000,214.61021529,0
2022-02-05,0.00001577,0.00001661,0.00001571,0.00001608,32475039.00000000,1644105599999,524.91166656,52267,18865533.00000000,305.21710750,0
2022-02-06,0.00001607,0.00001623,0.00001600,0.00001611,15692892.00000000,1644191999999,252.78870647,20705,8744905.00000000,140.91086431,0
2022-02-07,0.00001610,0.00001903,0.00001606,0.00001896,76142516.00000000,1644278399999,1353.18061292,127295,40758574.00000000,722.31199159,0
2022-02-08,0.00001897,0.00002028,0.00001867,0.00001989,96811213.00000000,1644364799999,1887.73068145,162281,49161255.00000000,959.19556911,0
2022-02-09,0.00001989,0.00002065,0.00001944,0.00001960,60275532.00000000,1644451199999,1204.55181678,103397,28735230.00000000,573.89525925,0
2022-02-10,0.00001960,0.00002002,0.00001893,0.00001898,41023552.00000000,1644537599999,799.23739637,61474,22238707.00000000,433.10134060,0
2022-02-11,0.00001898,0.00001913,0.00001784,0.00001791,42835006.00000000,1644623999999,799.32062320,61959,19867084.00000000,371.10511224,0
2022-02-12,0.00001791,0.00001996,0.00001785,0.00001949,38302647.00000000,1644710399999,727.37955614,63942,18943114.00000000,359.59713378,0
2022-02-13,0.00001948,0.00001989,0.00001891,0.00001916,27640965.00000000,1644796799999,535.99942310,44847,13863990.00000000,268.82263110,0
2022-02-14,0.00001916,0.00001924,0.00001858,0.00001884,20168417.00000000,1644883199999,379.78567133,38590,10699476.00000000,201.49556812,0
2022-02-15,0.00001883,0.00001934,0.00001864,0.00001911,19518897.00000000,1644969599999,368.84210230,39183,9683748.00000000,182.96440464,0
2022-02-16,0.00001911,0.00001932,0.00001852,0.00001908,22601047.00000000,1645055999999,427.98904433,37665,11238070.00000000,212.70847293,0
2022-02-17,0.00001907,0.00001919,0.00001868,0.00001896,26674804.00000000,1645142399999,505.28718833,42944,13516956.00000000,256.06285436,0
2022-02-18,0.00001897,0.00001986,0.00001891,0.00001962,34861636.00000000,1645228799999,675.17221070,50052,17934243.00000000,347.24267155,0
2022-02-19,0.00001962,0.00002124,0.00001941,0.00002049,47278496.00000000,1645315199999,963.59712748,70091,24895126.00000000,507.20965825,0
2022-02-20,0.00002050,0.00002080,0.00001982,0.00002023,37071287.00000000,1645401599999,753.80423444,56749,17932144.00000000,364.60509189,0
2022-02-21,0.00002023,0.00002052,0.00001885,0.00001897,43329805.00000000,1645487999999,863.60903170,59017,20893008.00000000,416.90916342,0
2022-02-22,0.00001897,0.00001918,0.00001841,0.00001886,43269022.00000000,1645574399999,809.96007438,56649,21827317.00000000,408.87852704,0
2022-02-23,0.00001885,0.00001900,0.00001862,0.00001869,24118171.00000000,1645660799999,454.18754952,38081,11915302.00000000,224.41012361,0
2022-02-24,0.00001870,0.00001891,0.00001785,0.00001816,61491107.00000000,1645747199999,1123.06947964,91363,32228209.00000000,588.43313490,0
2022-02-25,0.00001817,0.00001991,0.00001788,0.00001963,36267988.00000000,1645833599999,669.14351557,61713,19778843.00000000,365.03616790,0
2022-02-26,0.00001964,0.00001999,0.00001900,0.00001920,33729395.00000000,1645919999999,659.14334409,55195,16832109.00000000,328.92050028,0
2022-02-27,0.00001919,0.00001927,0.00001874,0.00001915,21609181.00000000,1646006399999,411.68393092,38280,10841744.00000000,206.69392742,0
2022-02-28,0.00001914,0.00001918,0.00001792,0.00001810,28942047.00000000,1646092799999,539.21897776,49464,14138923.00000000,263.62427819,0
2022-03-01,0.00001809,0.00001815,0.00001742,0.00001766,35598060.00000000,1646179199999,633.40960420,52029,17089184.00000000,303.99669269,0
2022-03-02,0.00001765,0.00001767,0.00001722,0.00001752,21008267.00000000,1646265599999,367.04490978,32027,10563617.00000000,184.58698647,0
2022-03-03,0.00001752,0.00001819,0.00001737,0.00001771,22616938.00000000,1646351999999,398.72348089,33363,11889169.00000000,209.68884831,0
2022-03-04,0.00001771,0.00001875,0.00001750,0.00001821,31967497.00000000,1646438399999,572.40734002,45926,17698973.00000000,317.16510809,0
2022-03-05,0.00001820,0.00001969,0.00001813,0.00001914,32975237.00000000,1646524799999,625.98336607,45549,17656206.00000000,334.79158886,0
2022-03-06,0.00001913,0.00001923,0.00001880,0.00001887,21895890.00000000,1646611199999,415.75211063,26389,10429563.00000000,198.07446160,0
2022-03-07,0.00001887,0.00001980,0.00001855,0.00001895,30652421.00000000,1646697599999,587.48473838,46058,16323210.00000000,313.02995883,0
2022-03-08,0.00001894,0.00001897,0.00001847,0.00001861,17076989.00000000,1646783999999,319.42556427,25858,8923649.00000000,166.92188635,0
2022-03-09,0.00001861,0.00001868,0.00001781,0.00001825,27339968.00000000,1646870399999,494.21081800,38105,13717954.00000000,247.88017731,0
2022-03-10,0.00001825,0.00001887,0.00001822,0.00001867,24900550.00000000,1646956799999,464.38894710,35206,12881951.00000000,240.30030968,0
2022-03-11,0.00001868,0.00002100,0.00001859,0.00002073,62211697.00000000,1647043199999,1231.00608878,82017,28705420.00000000,567.68042521,0
2022-03-12,0.00002073,0.00002165,0.00001994,0.00002025,57909635.00000000,1647129599999,1197.75463919,79445,28902187.00000000,597.98796414,0
2022-03-13,0.00002025,0.00002060,0.00001994,0.00002012,31471924.00000000,1647215999999,638.22482572,36137,18945076.00000000,384.40661297,0
2022-03-14,0.00002012,0.00002012,0.00001936,0.00001954,28026893.00000000,1647302399999,552.92798472,43831,12932043.00000000,255.20484101,0
2022-03-15,0.00001953,0.00001973,0.00001933,0.00001949,14918071.00000000,1647388799999,291.30921074,25973,7551860.00000000,147.50785444,0
2022-03-16,0.00001949,0.00001954,0.00001886,0.00001927,32008734.00000000,1647475199999,612.57702781,42945,15468757.00000000,296.15957923,0
2022-03-17,0.00001927,0.00001959,0.00001850,0.00001939,20436114.00000000,1647561599999,395.25198102,27557,10490678.00000000,203.07910136,0
2022-03-18,0.00001940,0.00001958,0.00001887,0.00001908,22728700.00000000,1647647999999,437.90288060,29314,11206389.00000000,215.94234188,0
2022-03-19,0.00001908,0.00001972,0.00001901,0.00001941,25816231.00000000,1647734399999,501.81645881,33401,13283248.00000000,258.33712599,0
2022-03-20,0.00001941,0.00001957,0.00001929,0.00001953,11564506.00000000,1647820799999,224.83605841,19860,5524074.00000000,107.41649574,0
2022-03-21,0.00001952,0.00002076,0.00001942,0.00002042,29483432.00000000,1647907199999,589.79492492,42562,16017662.00000000,320.31922123,0
2022-03-22,0.00002042,0.00002058,0.00001947,0.00001975,24505581.00000000,1647993599999,488.50715686,38040,12344608.00000000,246.17590820,0
2022-03-23,0.00001974,0.00001993,0.00001942,0.00001952,20548158.00000000,1648079999999,403.75461700,31376,10199981.00000000,200.48601088,0
2022-03-24,0.00001953,0.00001970,0.00001912,0.00001916,24332117.00000000,1648166399999,471.47098548,38617,12431224.00000000,240.96271551,0
2022-03-25,0.00001916,0.00001919,0.00001855,0.00001860,21085457.00000000,1648252799999,397.62876136,27502,10333513.00000000,194.76478891,0
2022-03-26,0.00001860,0.00001882,0.00001856,0.00001871,12166023.00000000,1648339199999,227.27606642,16454,6128057.00000000,114.49868481,0
2022-03-27,0.00001870,0.00001891,0.00001821,0.00001832,26453895.00000000,1648425599999,492.48637850,29704,12721456.00000000,236.81209689,0
2022-03-28,0.00001832,0.00001907,0.00001817,0.00001833,43984735.00000000,1648511999999,819.02408481,52970,22295701.00000000,415.28610479,0
2022-03-29,0.00001834,0.00001860,0.00001785,0.00001808,26129595.00000000,1648598399999,477.70528317,33154,12229641.00000000,223.71208653,0
2022-03-30,0.00001809,0.00001840,0.00001797,0.00001830,21412806.00000000,1648684799999,390.37866763,28108,11147682.00000000,203.24565311,0
2022-03-31,0.00001831,0.00001849,0.00001686,0.00001791,41839915.00000000,1648771199999,748.74501067,53642,20129179.00000000,360.30046457,0
2022-04-01,0.00001791,0.00001846,0.00001774,0.00001788,27645398.00000000,1648857599999,500.58955623,33305,14191105.00000000,257.07777253,0
2022-04-02,0.00001789,0.00001823,0.00001766,0.00001798,19260075.00000000,1648943999999,346.77229998,23336,9870894.00000000,177.75294077,0
2022-04-03,0.00001798,0.00001826,0.00001785,0.00001816,18468394.00000000,1649030399999,332.36945906,21429,8245123.00000000,148.50463203,0
2022-04-04,0.00001817,0.00001822,0.00001768,0.00001774,28009930.00000000,1649116799999,503.54844230,28391,15738132.00000000,282.99428693,0
2022-04-05,0.00001773,0.00001817,0.00001762,0.00001795,21290711.00000000,1649203199999,379.40311751,24729,10945734.00000000,195.14004427,0
2022-04-06,0.00001795,0.00001800,0.00001742,0.00001760,33633440.00000000,1649289599999,596.33752398,39540,17706183.00000000,314.07105972,0
2022-04-07,0.00001760,0.00001816,0.00001757,0.00001812,25345229.00000000,1649375999999,452.95017250,26635,12465808.00000000,222.87390574,0
2022-04-08,0.00001812,0.00001822,0.00001761,0.00001786,24507799.00000000,1649462399999,438.68820426,30004,12148465.00000000,217.56269851,0
2022-04-09,0.00001786,0.00001800,0.00001782,0.00001782,14953578.00000000,1649548799999,267.87913347,15393,7687878.00000000,137.73011625,0
2022-04-10,0.00001783,0.00001802,0.00001773,0.00001789,17609986.00000000,1649635199999,314.13784756,20362,9044600.00000000,161.35597769,0
2022-04-11,0.00001790,0.00001793,0.00001707,0.00001758,34863454.00000000,1649721599999,607.41196493,46742,17694518.00000000,308.23784385,0
2022-04-12,0.00001759,0.00001818,0.00001750,0.00001784,24047355.00000000,1649807999999,425.62658784,33970,12354160.00000000,218.77555058,0
2022-04-13,0.00001784,0.00001800,0.00001743,0.00001757,19241386.00000000,1649894399999,341.47766480,23610,9666541.00000000,171.63170287,0
2022-04-14,0.00001757,0.00001827,0.00001756,0.00001818,18032066.00000000,1649980799999,322.03742234,25956,9681674.00000000,172.97813542,0
2022-04-15,0.00001819,0.00001986,0.00001819,0.00001938,50750900.00000000,1650067199999,977.29961510,69564,26881026.00000000,517.41199243,0
2022-04-16,0.00001938,0.00001972,0.00001912,0.00001934,17741190.00000000,1650153599999,343.73463115,26605,9464852.00000000,183.54496518,0
2022-04-17,0.00001934,0.00001946,0.00001890,0.00001895,15395158.00000000,1650239999999,295.78382912,23519,7617371.00000000,146.35566447,0
2022-04-18,0.00001896,0.00001913,0.00001858,0.00001886,23318346.00000000,1650326399999,439.07992017,32299,12386906.00000000,233.20328516,0
2022-04-19,0.00001887,0.00001904,0.00001860,0.00001868,17931623.00000000,1650412799999,336.69673862,24523,9075292.00000000,170.41672293,0
2022-04-20,0.00001867,0.00001868,0.00001808,0.00001817,19851290.00000000,1650499199999,364.18492066,28615,9726295.00000000,178.48623696,0
2022-04-21,0.00001818,0.00001827,0.00001771,0.00001811,22584679.00000000,1650585599999,406.19936435,31963,11110719.00000000,199.85388765,0
2022-04-22,0.00001811,0.00001870,0.00001783,0.00001808,24743119.00000000,1650671999999,448.74137719,32032,12148108.00000000,220.50398833,0
2022-04-23,0.00001807,0.00001826,0.00001778,0.00001789,16386459.00000000,1650758399999,294.63657234,24311,7498106.00000000,134.85195769,0
2022-04-24,0.00001789,0.00001794,0.00001750,0.00001769,12709150.00000000,1650844799999,225.91743669,18201,5955178.00000000,105.96443432,0
2022-04-25,0.00001769,0.00001773,0.00001679,0.00001715,31353622.00000000,1650931199999,538.20228300,41884,14906589.00000000,255.73381279,0
2022-04-26,0.00001715,0.00001741,0.00001661,0.00001684,28756099.00000000,1651017599999,487.26039779,36721,15463585.00000000,262.13496564,0
2022-04-27,0.00001685,0.00001713,0.00001649,0.00001663,25682970.00000000,1651103999999,430.13429872,31500,13020926.00000000,218.20157538,0
2022-04-28,0.00001662,0.00001663,0.00001607,0.00001618,23538207.00000000,1651190399999,384.33650875,28613,11649437.00000000,190.28610520,0
2022-04-29,0.00001618,0.00001626,0.00001566,0.00001585,31749331.00000000,1651276799999,507.23783562,34509,15011131.00000000,239.89633147,0
2022-04-30,0.00001585,0.00001624,0.00001510,0.00001554,36368563.00000000,1651363199999,569.81696164,36200,14775488.00000000,233.45852736,0
2022-05-01,0.00001554,0.00001591,0.00001539,0.00001578,26319470.00000000,1651449599999,410.58884722,32662,13065290.00000000,203.81544300,0
2022-05-02,0.00001577,0.00001619,0.00001565,0.00001594,21433037.00000000,1651535999999,340.94792092,30506,10702678.00000000,170.24828443,0
2022-05-03,0.00001595,0.00001631,0.00001583,0.00001603,21103982.00000000,1651622399999,338.86802244,25747,10305030.00000000,165.47310624,0
2022-05-04,0.00001603,0.00001649,0.00001573,0.00001628,29116619.00000000,1651708799999,466.41451815,33140,15210319.00000000,243.69289871,0
2022-05-05,0.00001628,0.00001658,0.00001604,0.00001636,38427968.00000000,1651795199999,625.31608018,43123,19516070.00000000,317.64001867,0
2022-05-06,0.00001637,0.00001696,0.00001629,0.00001672,31764296.00000000,1651881599999,529.43612732,42964,15658016.00000000,261.04220264,0
2022-05-07,0.00001673,0.00001678,0.00001630,0.00001638,19727539.00000000,1651967999999,326.61542157,24022,9383233.00000000,155.37287579,0
2022-05-08,0.00001637,0.00001675,0.00001635,0.00001663,19942899.00000000,1652054399999,330.57888953,26864,9583832.00000000,158.90957737,0
2022-05-09,0.00001664,0.00001694,0.00001550,0.00001619,60987269.00000000,1652140799999,994.48449854,67076,29779866.00000000,485.86182840,0
2022-05-10,0.00001619,0.00001668,0.00001585,0.00001655,57174876.00000000,1652227199999,934.99541760,69305,28739444.00000000,469.94328900,0
2022-05-11,0.00001654,0.00001670,0.00001279,0.00001432,153329842.00000000,1652313599999,2273.48658831,173174,68942328.00000000,1026.69223640,0
2022-05-12,0.00001433,0.00001435,0.00001255,0.00001328,180813939.00000000,1652399999999,2423.04051155,171227,91044458.00000000,1221.36679126,0
2022-05-13,0.00001328,0.00001503,0.00001322,0.00001443,84114566.00000000,1652486399999,1207.03129812,98474,42816720.00000000,614.33885790,0
2022-05-14,0.00001443,0.00001482,0.00001378,0.00001417,39560603.00000000,1652572799999,563.52899263,49751,20014985.00000000,285.08473431,0
2022-05-15,0.00001417,0.00001435,0.00001399,0.00001430,23878735.00000000,1652659199999,338.53878131,33079,12332989.00000000,174.85700076,0
2022-05-16,0.00001430,0.00001482,0.00001390,0.00001416,36438683.00000000,1652745599999,516.62755273,44669,18423052.00000000,261.12098381,0
2022-05-17,0.00001417,0.00001441,0.00001404,0.00001438,25278752.00000000,1652831999999,360.01540866,29517,13205663.00000000,188.09431823,0
2022-05-18,0.00001439,0.00001447,0.00001398,0.00001413,27312202.00000000,1652918399999,388.52455125,30415,14221358.00000000,202.43938692,0
2022-05-19,0.00001413,0.00001423,0.00001362,0.00001387,30658165.00000000,1653004799999,425.89773115,34295,15792135.00000000,219.38320340,0
2022-05-20,0.00001387,0.00001461,0.00001383,0.00001405,45651447.00000000,1653091199999,647.73035706,41360,22707916.00000000,322.15917127,0
2022-05-21,0.00001405,0.00001415,0.00001388,0.00001407,16186378.00000000,1653177599999,227.15996342,16992,8082847.00000000,113.43630365,0
2022-05-22,0.00001408,0.00001411,0.00001389,0.00001393,19692046.00000000,1653263999999,275.26929695,19487,10103183.00000000,141.22473506,0
2022-05-23,0.00001393,0.00001412,0.00001378,0.00001392,34592643.00000000,1653350399999,482.79128760,28562,17652910.00000000,246.37927401,0
2022-05-24,0.00001391,0.00001409,0.00001353,0.00001378,22742527.00000000,1653436799999,315.16239485,19539,11981352.00000000,166.07392160,0
2022-05-25,0.00001378,0.00001398,0.00001334,0.00001375,24585197.00000000,1653523199999,335.36462465,22239,12198680.00000000,166.46055410,0
2022-05-26,0.00001375,0.00001379,0.00001309,0.00001342,39722779.00000000,1653609599999,533.44505164,29212,20366166.00000000,273.62988288,0
2022-05-27,0.00001343,0.00001386,0.00001325,0.00001333,46058672.00000000,1653695999999,622.20919376,33791,23775219.00000000,321.13014543,0
2022-05-28,0.00001335,0.00001347,0.00001317,0.00001332,16035619.00000000,1653782399999,213.91680282,14492,8361933.00000000,111.55049710,0
2022-05-29,0.00001331,0.00001333,0.00001314,0.00001320,12556296.00000000,1653868799999,166.13068818,11101,6707648.00000000,88.76060218,0
2022-05-30,0.00001321,0.00001333,0.00001288,0.00001320,29052379.00000000,1653955199999,380.00207896,23419,14681796.00000000,192.02963218,0
2022-05-31,0.00001319,0.00001368,0.00001287,0.00001326,37191079.00000000,1654041599999,492.56691077,31846,18543628.00000000,245.33061149,0
2022-06-01,0.00001326,0.00001341,0.00001310,0.00001335,36172306.00000000,1654127999999,479.52335276,28953,19534841.00000000,258.85591536,0
2022-06-02,0.00001335,0.00001343,0.00001313,0.00001331,26903669.00000000,1654214399999,356.12775854,24885,14194523.00000000,187.87605948,0
2022-06-03,0.00001331,0.00001344,0.00001302,0.00001314,42559165.00000000,1654300799999,563.67596401,30084,22198695.00000000,294.00951815,0
2022-06-04,0.00001314,0.00001322,0.00001303,0.00001314,14755962.00000000,1654387199999,193.71178408,16082,7844336.00000000,102.97647513,0
2022-06-05,0.00001314,0.00001340,0.00001311,0.00001322,17305685.00000000,1654473599999,228.74319849,17562,9112024.00000000,120.45225292,0
2022-06-06,0.00001322,0.00001324,0.00001266,0.00001284,50893724.00000000,1654559999999,655.45503263,36568,27258493.00000000,351.11871898,0
2022-06-07,0.00001284,0.00001348,0.00001279,0.00001309,56607355.00000000,1654646399999,743.91502157,49767,29544036.00000000,388.32065006,0
2022-06-08,0.00001310,0.00001331,0.00001301,0.00001326,40281069.00000000,1654732799999,530.35814935,34043,20055489.00000000,264.03619698,0
2022-06-09,0.00001326,0.00001334,0.00001314,0.00001330,27561582.00000000,1654819199999,365.01463438,24495,14294707.00000000,189.33865932,0
2022-06-10,0.00001329,0.00001368,0.00001303,0.00001312,52408037.00000000,1654905599999,697.15356332,41072,26245714.00000000,349.19261070,0
2022-06-11,0.00001312,0.00001325,0.00001259,0.00001266,38601230.00000000,1654991999999,499.19171238,32876,19318019.00000000,249.71399471,0
2022-06-12,0.00001266,0.00001307,0.00001238,0.00001291,49076002.00000000,1655078399999,621.54694667,43914,23803911.00000000,301.57412744,0
2022-06-13,0.00001292,0.00001395,0.00001260,0.00001386,128164314.00000000,1655164799999,1683.60569417,106996,66000769.00000000,865.86532418,0
2022-06-14,0.00001385,0.00001466,0.00001373,0.00001452,114726457.00000000,1655251199999,1620.62082451,92986,59134354.00000000,835.58466623,0
2022-06-15,0.00001452,0.00001536,0.00001426,0.00001521,121189764.00000000,1655337599999,1785.50044845,97496,61093455.00000000,899.77697276,0
2022-06-16,0.00001522,0.00001545,0.00001479,0.00001535,66637046.00000000,1655423999999,1004.41278830,57064,32406647.00000000,488.47830327,0
2022-06-17,0.00001536,0.00001613,0.00001527,0.00001568,68676480.00000000,1655510399999,1079.96896794,57849,34504767.00000000,542.57701200,0
2022-06-18,0.00001568,0.00001662,0.00001554,0.00001620,85408277.00000000,1655596799999,1373.16396941,60907,45018910.00000000,723.77925926,0
2022-06-19,0.00001621,0.00001664,0.00001575,0.00001586,55852189.00000000,1655683199999,902.33777660,53739,27116176.00000000,438.13952570,0
2022-06-20,0.00001587,0.00001622,0.00001549,0.00001568,69555070.00000000,1655769599999,1098.84896245,49415,36430684.00000000,575.70488473,0
2022-06-21,0.00001568,0.00001595,0.00001539,0.00001590,65397175.00000000,1655855999999,1019.05821101,41242,34249760.00000000,533.65040975,0
2022-06-22,0.00001589,0.00001626,0.00001560,0.00001613,46341668.00000000,1655942399999,735.89472710,33026,23792638.00000000,377.78186880,0
2022-06-23,0.00001613,0.00001616,0.00001582,0.00001591,39794801.00000000,1656028799999,634.92928130,30067,19614641.00000000,312.92995174,0
2022-06-24,0.00001590,0.00001840,0.00001590,0.00001730,88552706.00000000,1656115199999,1537.84163383,104681,45094248.00000000,783.57433015,0
2022-06-25,0.00001730,0.00001754,0.00001686,0.00001710,29129180.00000000,1656201599999,500.00177805,32546,14878835.00000000,255.44192492,0
2022-06-26,0.00001711,0.00001729,0.00001692,0.00001707,22687713.00000000,1656287999999,388.23014131,24368,11663397.00000000,199.58862415,0
2022-06-27,0.00001707,0.00001737,0.00001687,0.00001705,34331761.00000000,1656374399999,586.31124210,27156,17406251.00000000,297.34075497,0
2022-06-28,0.00001705,0.00001708,0.00001649,0.00001664,31107099.00000000,1656460799999,519.30080184,30479,15937812.00000000,265.90418444,0
2022-06-29,0.00001664,0.00001679,0.00001608,0.00001638,36094523.00000000,1656547199999,592.97091230,32270,17120163.00000000,281.18787658,0
2022-06-30,0.00001637,0.00001752,0.00001606,0.00001665,60709515.00000000,1656633599999,1004.30164304,61528,28833367.00000000,477.41185892,0
2022-07-01,0.00001665,0.00001674,0.00001582,0.00001628,51150125.00000000,1656719999999,830.07791347,50327,26669267.00000000,432.73117123,0
2022-07-02,0.00001629,0.00001647,0.00001614,0.00001639,17834733.00000000,1656806399999,290.69200678,19252,8765304.00000000,142.87658249,0
2022-07-03,0.00001640,0.00001684,0.00001628,0.00001665,24563590.00000000,1656892799999,404.53615487,22946,12381973.00000000,204.15327375,0
2022-07-04,0.00001665,0.00001690,0.00001616,0.00001625,41195950.00000000,1656979199999,680.17179303,33084,22129732.00000000,365.41541896,0
2022-07-05,0.00001624,0.00001631,0.00001577,0.00001612,29250448.00000000,1657065599999,472.00919533,27697,13736770.00000000,221.64804602,0
2022-07-06,0.00001611,0.00001628,0.00001586,0.00001617,23069124.00000000,1657151999999,370.75751017,24034,12180120.00000000,195.67204376,0
2022-07-07,0.00001617,0.00001633,0.00001565,0.00001583,25517075.00000000,1657238399999,409.53043687,27336,12475237.00000000,200.24325522,0
2022-07-08,0.00001583,0.00001639,0.00001547,0.00001576,61037989.00000000,1657324799999,973.53267948,59066,31417599.00000000,500.90184696,0
2022-07-09,0.00001575,0.00001604,0.00001574,0.00001597,16541947.00000000,1657411199999,262.92378761,20171,8586796.00000000,136.48682805,0
2022-07-10,0.00001596,0.00001603,0.00001527,0.00001560,29401516.00000000,1657497599999,461.43787294,32082,15944331.00000000,250.10837318,0
2022-07-11,0.00001561,0.00001609,0.00001552,0.00001579,28072799.00000000,1657583999999,443.16464508,28492,15431242.00000000,243.53287103,0
2022-07-12,0.00001579,0.00001615,0.00001566,0.00001612,20619293.00000000,1657670399999,326.26976019,22312,11328009.00000000,179.12448641,0
2022-07-13,0.00001612,0.00001631,0.00001584,0.00001599,37054648.00000000,1657756799999,594.83690728,41963,18824941.00000000,302.27801231,0
2022-07-14,0.00001600,0.00001623,0.00001566,0.00001621,21413261.00000000,1657843199999,341.09507865,28643,10462264.00000000,166.69947792,0
2022-07-15,0.00001621,0.00001704,0.00001573,0.00001604,57366407.00000000,1657929599999,935.09897100,57316,31885215.00000000,519.00929987,0
2022-07-16,0.00001604,0.00001669,0.00001601,0.00001653,33948074.00000000,1658015999999,557.99526431,39785,17447202.00000000,286.70574720,0
2022-07-17,0.00001654,0.00001680,0.00001631,0.00001650,22121563.00000000,1658102399999,365.83517508,27067,12004526.00000000,198.52651921,0
2022-07-18,0.00001650,0.00001703,0.00001618,0.00001628,41397706.00000000,1658188799999,685.21296785,45553,23581778.00000000,390.82860851,0
2022-07-19,0.00001628,0.00001646,0.00001570,0.00001594,28992564.00000000,1658275199999,467.82206468,41431,14683018.00000000,237.12423661,0
2022-07-20,0.00001594,0.00001617,0.00001538,0.00001565,29386433.00000000,1658361599999,463.81122751,40062,15836758.00000000,250.02939765,0
2022-07-21,0.00001565,0.00001592,0.00001542,0.00001584,22208595.00000000,1658447999999,346.88630524,27838,11793937.00000000,184.16845375,0
2022-07-22,0.00001585,0.00001591,0.00001545,0.00001578,22245476.00000000,1658534399999,348.90165763,24833,11816058.00000000,185.29037085,0
2022-07-23,0.00001578,0.00001601,0.00001570,0.00001600,11172604.00000000,1658620799999,177.16979714,15749,6222307.00000000,98.70702665,0
2022-07-24,0.00001599,0.00001612,0.00001583,0.00001587,11180773.00000000,1658707199999,178.62872813,17547,5789163.00000000,92.49766536,0
2022-07-25,0.00001587,0.00001592,0.00001558,0.00001577,23222510.00000000,1658793599999,366.39903515,26866,12658319.00000000,199.75678714,0
2022-07-26,0.00001578,0.00001596,0.00001556,0.00001588,18368643.00000000,1658879999999,289.48997578,25300,9572793.00000000,150.88365910,0
2022-07-27,0.00001587,0.00001598,0.00001543,0.00001566,26308533.00000000,1658966399999,412.91940944,29952,13395974.00000000,210.22124615,0
2022-07-28,0.00001565,0.00001583,0.00001529,0.00001568,35505953.00000000,1659052799999,550.09942486,37958,18146175.00000000,281.03288072,0
2022-07-29,0.00001568,0.00001580,0.00001520,0.00001548,28575366.00000000,1659139199999,442.96881071,33914,15147943.00000000,234.98595622,0
2022-07-30,0.00001548,0.00001671,0.00001529,0.00001641,46609822.00000000,1659225599999,752.34502506,56200,27116971.00000000,437.99925098,0
2022-07-31,0.00001641,0.00001674,0.00001621,0.00001627,22850672.00000000,1659311999999,375.50992264,35110,12288537.00000000,202.05475356,0
2022-08-01,0.00001627,0.00001647,0.00001615,0.00001630,20760180.00000000,1659398399999,338.41832222,24052,11159126.00000000,181.94391900,0
2022-08-02,0.00001629,0.00001700,0.00001608,0.00001616,19962336.00000000,1659484799999,325.63897467,28184,10843238.00000000,176.88618359,0
2022-08-03,0.00001616,0.00001621,0.00001588,0.00001619,18232951.00000000,1659571199999,292.28063096,21558,9296863.00000000,149.01514757,0
2022-08-04,0.00001619,0.00001643,0.00001595,0.00001640,14466532.00000000,1659657599999,233.87656827,18384,7516823.00000000,121.43575002,0
2022-08-05,0.00001641,0.00001645,0.00001603,0.00001615,21461113.00000000,1659743999999,346.90844207,23398,12130440.00000000,196.08920336,0
2022-08-06,0.00001615,0.00001622,0.00001608,0.00001618,11033475.00000000,1659830399999,178.19081355,11254,5473818.00000000,88.41612917,0
